172.59,96.37,545.6,166.12,134.2,101.76,127.04,86.7,26.07,181.95,112.9,202.03,52.59,161.71,39.3,378.2,36.79,11.6,77.85,183.25,29.74,136.87,301.94,171.56,37.41,137.08,34.97,504.6,274.35,166.66,152.19,143.2,54.59,60.06,10.25,64.22,72.69,316.11,103.44,330.2,72.35,67.48,40.35,7.6,103.01,108.14,42.83,103.67,161.32,31.09
177.89,121.3,334.29,166.7,129.86,81.07,170.74,157.99,33.24,140.92,165.48,242.22,52.97,135.65,56.66,414.23,38.55,8.56,101.76,283.93,42.21,144.43,454.06,174.13,58.09,218.8,18.71,539.42,454.59,171.9,146.22,213.31,67.72,60.67,10.3,63.75,79.84,506.06,76.88,359.74,98.44,64.25,86.26,3.13,52.57,145.36,98.08,126.34,139.44,21.11
189.13,103.6,620.36,183.17,149.44,123.96,146.83,94.37,30.49,224.18,125.3,230.65,48.12,145.1,45.9,365.53,39.5,10.62,75.02,189.64,31.65,135.13,341.38,183.78,38.73,156.51,45.14,580.4,310.54,179.53,151.81,154.9,58.21,71.64,11.74,70.67,78.87,333.06,100.81,379.76,79.17,76.65,47.88,7.18,110.68,135.91,48.11,116.34,166.84,30.01
44.72,77.4,279.29,97.37,39.21,28.43,91.97,25.3,28.09,357.0,68.57,156.66,54.73,118.77,64.04,138.47,40.18,9.82,65.03,120.71,34.84,57.52,191.36,157.0,24.48,132.16,43.5,255.57,159.19,150.52,139.58,109.14,49.39,17.96,55.61,51.69,92.44,183.44,77.47,127.4,42.74,33.05,35.77,3.99,82.83,53.62,3.6,53.17,128.96,42.11
233.55,116.29,508.1,225.65,190.28,156.07,187.33,175.64,42.29,152.2,172.68,288.56,54.08,148.28,62.64,403.75,45.11,10.88,85.79,245.95,48.04,165.11,522.71,204.31,50.29,233.01,22.55,619.38,477.13,223.59,163.78,222.46,70.44,76.28,13.15,71.71,89.64,584.09,111.05,417.28,112.47,103.95,70.54,5.64,82.29,185.69,130.97,174.03,175.8,29.36
258.74,123.62,305.2,295.12,299.69,223.15,238.58,336.5,52.3,241.43,207.29,239.65,74.75,167.39,112.55,514.63,57.67,13.96,122.58,424.9,81.96,333.63,930.92,213.87,87.04,304.86,48.18,571.1,536.1,262.07,218.06,307.67,71.51,209.26,18.95,56.79,96.7,621.59,109.47,463.91,180.81,335.2,88.92,4.61,65.64,136.21,181.99,194.42,145.57,25.53
148.84,112.45,350.93,178.42,115.74,74.38,94.37,57.7,33.07,187.44,84.44,138.86,50.19,173.87,47.26,435.31,39.08,13.7,88.81,169.36,39.43,98.75,374.38,204.53,34.53,151.7,29.55,438.75,282.74,185.0,179.22,135.33,64.42,48.73,12.52,67.81,80.77,122.31,109.61,261.32,93.96,56.51,33.02,12.92,114.16,84.83,18.37,84.08,185.32,53.86
188.35,104.21,609.2,181.1,148.16,120.22,144.95,92.39,30.35,227.56,124.4,244.51,48.06,142.56,45.91,362.46,39.51,10.26,76.11,189.19,31.81,131.82,341.55,183.73,38.63,157.9,44.62,570.0,308.57,179.17,154.09,155.17,57.89,71.08,11.64,70.45,78.87,324.35,101.77,376.46,79.06,75.75,47.33,7.19,109.51,136.15,46.67,115.47,166.62,30.36
52.88,85.83,289.15,111.82,47.19,31.85,91.08,27.87,27.21,335.03,77.6,144.05,48.48,117.17,64.71,152.05,39.73,9.07,64.32,141.59,37.33,60.12,202.74,156.36,28.74,135.66,47.15,273.92,163.41,150.62,132.1,108.68,54.5,20.85,52.94,54.58,103.7,186.77,82.15,137.82,40.36,45.15,31.0,3.06,81.05,51.52,4.21,54.14,132.28,35.14
79.71,90.61,350.93,120.79,63.51,51.44,94.28,31.86,34.18,316.29,79.7,183.48,49.13,113.13,79.96,170.56,44.9,9.1,63.78,147.01,34.8,74.39,246.72,169.62,29.84,143.12,63.55,290.51,203.53,167.67,147.98,136.5,57.61,31.06,48.64,55.52,120.57,220.25,84.49,166.29,55.55,59.23,34.04,4.75,103.28,62.54,6.32,54.89,142.92,40.71
189.06,102.95,563.07,182.17,153.72,109.42,137.71,87.47,28.96,223.78,124.36,221.65,57.8,164.3,41.62,418.47,39.61,12.1,76.61,180.09,33.45,135.63,327.8,177.53,36.76,147.86,36.54,548.5,310.72,190.72,160.68,147.06,59.32,70.07,12.42,69.73,82.17,296.99,109.62,328.1,85.8,70.07,43.95,10.97,102.17,118.24,48.45,121.07,175.48,35.79
210.82,106.38,527.54,231.49,235.25,160.81,187.26,169.62,39.87,176.45,158.31,244.56,47.5,157.4,59.87,378.62,42.69,11.83,71.29,215.95,47.72,179.1,456.76,202.56,44.14,172.96,31.07,621.97,431.79,199.69,148.55,196.21,62.94,104.82,13.48,66.73,81.04,497.58,130.49,447.12,97.2,138.77,67.93,4.31,96.33,147.45,125.68,141.62,168.18,27.83
250.34,101.53,242.37,310.42,327.09,198.69,206.35,303.03,47.93,193.42,165.89,186.98,76.73,211.76,110.84,553.23,55.27,11.42,137.9,424.21,73.8,282.3,826.46,223.68,86.91,238.99,42.79,431.29,455.02,244.01,244.09,290.41,75.58,205.39,12.85,56.93,85.69,560.06,120.18,365.05,161.48,323.38,95.05,5.96,52.1,104.93,171.05,143.16,154.46,27.95
167.17,105.63,409.93,164.01,101.21,92.14,132.96,53.17,34.79,159.26,79.16,175.36,47.67,161.65,51.32,377.83,39.51,15.19,63.75,162.15,38.92,113.91,342.61,186.26,33.05,135.66,34.0,444.38,215.45,191.07,166.17,116.7,63.75,45.92,15.5,64.13,90.58,162.1,90.17,276.52,88.78,58.4,22.55,17.75,110.85,91.65,17.03,76.51,177.65,47.97
122.8,107.39,483.06,139.89,86.27,92.46,159.78,40.29,28.83,238.63,84.43,222.89,43.84,90.13,56.82,253.94,50.39,9.27,60.58,172.26,44.51,91.05,236.91,196.02,35.02,124.17,50.98,362.98,253.05,184.69,148.31,120.96,52.6,48.78,43.79,58.33,112.77,282.88,77.41,214.33,64.16,70.64,50.08,46.66,137.52,105.62,13.41,59.46,144.07,40.15
159.78,123.97,652.45,181.37,147.23,146.53,177.25,55.0,47.28,208.22,93.04,288.79,55.23,115.91,67.96,347.22,50.41,20.13,70.48,166.92,62.68,144.83,402.46,203.07,33.98,117.1,49.3,664.26,335.03,229.77,159.93,167.62,55.82,65.26,45.16,61.49,113.63,335.82,82.81,334.72,100.98,84.88,65.09,41.23,170.83,126.27,31.12,92.48,164.53,51.01
149.69,125.17,655.44,166.46,131.04,108.09,164.81,48.1,41.32,221.53,88.8,261.0,59.0,97.48,71.72,365.47,51.35,12.96,72.34,168.88,49.25,141.3,405.81,216.89,34.37,139.46,53.61,551.55,351.15,220.7,175.62,157.27,56.05,58.38,47.71,62.2,133.09,365.8,77.89,302.19,103.0,71.92,55.05,38.98,169.89,124.56,21.81,88.77,156.22,48.64
